rating,date,variation,verified_reviews,feedback
1,16-Jun-20,Heather Gray,Privacy concerns with Alexa always listening. Not comfortable with it.,0
2,17-Jun-20,Sandstone,"Sound quality is poor, especially for the price.",0
1,18-Jun-20,Charcoal Fabric,No backup battery. Useless during power outages.,0
1,19-Jun-20,Walnut Finish,Customer service is unresponsive and unhelpful.,0
2,20-Jun-20,Heather Gray,Annoying voice. Not pleasant to listen to.,0
1,21-Jun-20,Sandstone,Voice recognition is inconsistent and unreliable.,0
1,22-Jun-20,Charcoal Fabric,Alexa app is poorly designed and hard to navigate.,0
2,23-Jun-20,Walnut Finish,Setup process is too complicated and time-consuming.,0
1,24-Jun-20,Heather Gray,Requires constant internet connection to function. Useless otherwise.,0
1,25-Jun-20,Sandstone,Privacy concerns with Alexa always listening.,0
2,26-Jun-20,Charcoal Fabric,"Microphone sensitivity is poor, struggles to pick up voice commands.",0
1,27-Jun-20,Walnut Finish,Stopped working after a firmware update. Very frustrating.,0
1,28-Jun-20,Heather Gray,No support for Spotify. Very limited music options.,0
2,29-Jun-20,Sandstone,Stopped working after a month. Customer service was no help at all.,0
1,30-Jun-20,Charcoal Fabric,Limited functionality compared to other smart assistants.,0
1,01-Jul-20,Walnut Finish,The connection keeps dropping frequently. Very frustrating to use.,0
2,02-Jul-20,Heather Gray,Sound volume is too low even at maximum setting.,0
1,03-Jul-20,Sandstone,Alexa skills are limited and not very useful.,0
1,04-Jul-20,Charcoal Fabric,Voice commands are too complicated and not intuitive.,0
2,05-Jul-20,Walnut Finish,Keeps sending irrelevant notifications. Very annoying.,0
1,06-Jul-20,Heather Gray,Voice recognition is poor. Alexa struggles to understand commands.,0
1,07-Jul-20,Sandstone,Setup was extremely difficult and not user-friendly.,0
2,08-Jul-20,Charcoal Fabric,Limited functionality compared to other smart assistants.,0
1,09-Jul-20,Walnut Finish,Voice recognition is inconsistent and unreliable.,0
1,10-Jul-20,Heather Gray,Stopped working after just a few weeks. Very disappointed.,0
2,11-Jul-20,Sandstone,No backup battery. Useless during power outages.,0
1,12-Jul-20,Charcoal Fabric,Microphone quality is poor. Doesn't pick up voice well.,0
1,13-Jul-20,Walnut Finish,The app is buggy and crashes often.,0
2,14-Jul-20,Heather Gray,Customer service is unresponsive and unhelpful.,0
1,15-Jul-20,Sandstone,No support for local music playback. Very limited.,0
1,16-Jul-20,Charcoal Fabric,Stopped working after a firmware update. Very frustrating.,0
2,17-Jul-20,Walnut Finish,Voice commands are too complicated and not intuitive.,0
1,18-Jul-20,Heather Gray,Alexa app is poorly designed and hard to navigate.,0
1,19-Jul-20,Sandstone,"Sound quality is poor, especially for the price.",0
2,20-Jul-20,Charcoal Fabric,Privacy concerns with Alexa always listening.,0
1,21-Jul-20,Walnut Finish,Requires constant internet connection to function. Useless otherwise.,0
1,22-Jul-20,Heather Gray,Voice recognition is poor. Alexa struggles to understand commands.,0
2,23-Jul-20,Sandstone,Annoying voice. Not pleasant to listen to.,0
1,24-Jul-20,Charcoal Fabric,Stopped working after just a few weeks. Very disappointed.,0
1,25-Jul-20,Walnut Finish,Microphone quality is poor. Doesn't pick up voice well.,0
2,26-Jul-20,Heather Gray,No support for Spotify. Very limited music options.,0
1,27-Jul-20,Sandstone,Voice recognition is inconsistent and unreliable.,0
1,28-Jul-20,Charcoal Fabric,Limited functionality compared to other smart assistants.,0
2,29-Jul-20,Walnut Finish,Setup was extremely difficult and not user-friendly.,0
1,30-Jul-20,Heather Gray,Stopped working after a month. Customer service was no help at all.,0
1,31-Jul-20,Sandstone,The connection keeps dropping frequently. Very frustrating to use.,0
2,01-Aug-20,Charcoal Fabric,Requires constant internet connection to function. Useless otherwise.,0
1,02-Aug-20,Walnut Finish,Stopped working after a software update. Very frustrating.,0
1,03-Aug-20,Heather Gray,Limited functionality compared to other smart assistants.,0
2,04-Aug-20,Sandstone,Sound volume is too low even at maximum setting.,0
1,05-Aug-20,Charcoal Fabric,Alexa skills are limited and not very useful.,0
1,06-Aug-20,Walnut Finish,Voice recognition is poor. Alexa struggles to understand commands.,0
2,07-Aug-20,Heather Gray,"Microphone sensitivity is poor, struggles to pick up voice commands.",0
1,08-Aug-20,Sandstone,Voice recognition is inconsistent and unreliable.,0
1,09-Aug-20,Charcoal Fabric,Customer service is unresponsive and unhelpful.,0
2,10-Aug-20,Walnut Finish,Voice commands are too complicated and not intuitive.,0
1,11-Aug-20,Heather Gray,Requires constant internet connection to function. Useless otherwise.,0
1,12-Aug-20,Sandstone,Stopped working after a firmware update. Very frustrating.,0
2,13-Aug-20,Charcoal Fabric,"Sound quality is poor, especially for the price.",0
1,14-Aug-20,Walnut Finish,Setup process is too complicated and time-consuming.,0
1,15-Aug-20,Heather Gray,Stopped working after just a few weeks. Very disappointed.,0
2,16-Aug-20,Sandstone,No support for local music playback. Very limited.,0
1,17-Aug-20,Charcoal Fabric,Voice recognition is poor. Alexa struggles to understand commands.,0
1,18-Aug-20,Walnut Finish,No backup battery. Useless during power outages.,0
2,19-Aug-20,Heather Gray,Privacy concerns with Alexa always listening.,0
1,20-Aug-20,Sandstone,The app is buggy and crashes often.,0
1,21-Aug-20,Charcoal Fabric,"Sound quality is poor, especially for the price.",0
2,22-Aug-20,Walnut Finish,Limited functionality compared to other smart assistants.,0
1,23-Aug-20,Heather Gray,Keeps disconnecting from Wi-Fi. Not reliable.,0
1,24-Aug-20,Sandstone,Stopped working after a month. Customer service was no help at all.,0
2,25-Aug-20,Charcoal Fabric,Voice recognition is inconsistent and unreliable.,0
1,26-Aug-20,Walnut Finish,Voice commands are too complicated and not intuitive.,0
1,27-Aug-20,Heather Gray,Stopped working after a firmware update. Very frustrating.,0
2,28-Aug-20,Sandstone,Limited functionality compared to other smart assistants.,0
1,29-Aug-20,Charcoal Fabric,Privacy concerns with Alexa always listening.,0
1,30-Aug-20,Walnut Finish,Requires constant internet connection to function. Useless otherwise.,0
2,31-Aug-20,Heather Gray,Sound volume is too low even at maximum setting.,0
1,01-Sep-20,Sandstone,Alexa skills are limited and not very useful.,0
1,02-Sep-20,Charcoal Fabric,Voice recognition is poor. Alexa struggles to understand commands.,0
2,03-Sep-20,Walnut Finish,Device feels cheap and poorly made.,0
1,04-Sep-20,Heather Gray,Microphone quality is poor. Doesn't pick up voice well.,0
1,05-Sep-20,Sandstone,Requires constant internet connection to function. Useless otherwise.,0
2,06-Sep-20,Charcoal Fabric,Keeps disconnecting from Wi-Fi. Not reliable.,0
1,07-Sep-20,Walnut Finish,Stopped working after just a few weeks. Very disappointed.,0
1,08-Sep-20,Heather Gray,Privacy concerns with Alexa always listening. Not comfortable with it.,0
2,09-Sep-20,Sandstone,"Sound quality is poor, especially for the price.",0
1,10-Sep-20,Charcoal Fabric,No backup battery. Useless during power outages.,0
1,11-Sep-20,Walnut Finish,Customer service is unresponsive and unhelpful.,0
2,12-Sep-20,Heather Gray,Annoying voice. Not pleasant to listen to.,0
1,13-Sep-20,Sandstone,Voice recognition is inconsistent and unreliable.,0
1,14-Sep-20,Charcoal Fabric,Alexa app is poorly designed and hard to navigate.,0
2,15-Sep-20,Walnut Finish,Setup process is too complicated and time-consuming.,0
1,16-Sep-20,Heather Gray,Requires constant internet connection to function. Useless otherwise.,0
1,17-Sep-20,Sandstone,Privacy concerns with Alexa always listening.,0
2,18-Sep-20,Charcoal Fabric,"Microphone sensitivity is poor, struggles to pick up voice commands.",0
1,19-Sep-20,Walnut Finish,Stopped working after a firmware update. Very frustrating.,0
1,20-Sep-20,Heather Gray,No support for Spotify. Very limited music options.,0
2,21-Sep-20,Sandstone,Stopped working after a month. Customer service was no help at all.,0
1,22-Sep-20,Charcoal Fabric,Limited functionality compared to other smart assistants.,0
1,23-Sep-20,Walnut Finish,The connection keeps dropping frequently. Very frustrating to use.,0
2,24-Sep-20,Heather Gray,Sound volume is too low even at maximum setting.,0
1,25-Sep-20,Sandstone,Alexa skills are limited and not very useful.,0
1,26-Sep-20,Charcoal Fabric,Voice commands are too complicated and not intuitive.,0
2,27-Sep-20,Walnut Finish,Keeps sending irrelevant notifications. Very annoying.,0
1,28-Sep-20,Heather Gray,Voice recognition is poor. Alexa struggles to understand commands.,0
1,29-Sep-20,Sandstone,Setup was extremely difficult and not user-friendly.,0
2,30-Sep-20,Charcoal Fabric,Limited functionality compared to other smart assistants.,0
1,01-Oct-20,Walnut Finish,Voice recognition is inconsistent and unreliable.,0
1,02-Oct-20,Heather Gray,Stopped working after just a few weeks. Very disappointed.,0
2,03-Oct-20,Sandstone,No backup battery. Useless during power outages.,0
1,04-Oct-20,Charcoal Fabric,Microphone quality is poor. Doesn't pick up voice well.,0
1,05-Oct-20,Walnut Finish,The app is buggy and crashes often.,0
2,06-Oct-20,Heather Gray,Customer service is unresponsive and unhelpful.,0
1,07-Oct-20,Sandstone,No support for local music playback. Very limited.,0
1,08-Oct-20,Charcoal Fabric,Stopped working after a firmware update. Very frustrating.,0
2,09-Oct-20,Walnut Finish,Voice commands are too complicated and not intuitive.,0
1,10-Oct-20,Heather Gray,Alexa app is poorly designed and hard to navigate.,0
1,11-Oct-20,Sandstone,"Sound quality is poor, especially for the price.",0
2,12-Oct-20,Charcoal Fabric,Privacy concerns with Alexa always listening.,0
1,13-Oct-20,Walnut Finish,Requires constant internet connection to function. Useless otherwise.,0
1,14-Oct-20,Heather Gray,Voice recognition is poor. Alexa struggles to understand commands.,0
2,15-Oct-20,Sandstone,Annoying voice. Not pleasant to listen to.,0
1,16-Oct-20,Charcoal Fabric,Stopped working after just a few weeks. Very disappointed.,0
1,17-Oct-20,Walnut Finish,Microphone quality is poor. Doesn't pick up voice well.,0
2,18-Oct-20,Heather Gray,No support for Spotify. Very limited music options.,0
1,19-Oct-20,Sandstone,Voice recognition is inconsistent and unreliable.,0
1,20-Oct-20,Charcoal Fabric,Limited functionality compared to other smart assistants.,0
2,21-Oct-20,Walnut Finish,Setup was extremely difficult and not user-friendly.,0
1,22-Oct-20,Heather Gray,Stopped working after a month. Customer service was no help at all.,0
1,23-Oct-20,Sandstone,The connection keeps dropping frequently. Very frustrating to use.,0
2,24-Oct-20,Charcoal Fabric,Requires constant internet connection to function. Useless otherwise.,0
1,25-Oct-20,Walnut Finish,Stopped working after a software update. Very frustrating.,0
1,26-Oct-20,Heather Gray,Limited functionality compared to other smart assistants.,0
2,27-Oct-20,Sandstone,Sound volume is too low even at maximum setting.,0
1,28-Oct-20,Charcoal Fabric,Alexa skills are limited and not very useful.,0
1,29-Oct-20,Walnut Finish,Voice recognition is poor. Alexa struggles to understand commands.,0
2,30-Oct-20,Heather Gray,"Microphone sensitivity is poor, struggles to pick up voice commands.",0
1,31-Oct-20,Sandstone,Voice recognition is inconsistent and unreliable.,0
1,01-Nov-20,Charcoal Fabric,Customer service is unresponsive and unhelpful.,0
2,02-Nov-20,Walnut Finish,Voice commands are too complicated and not intuitive.,0
1,03-Nov-20,Heather Gray,Requires constant internet connection to function. Useless otherwise.,0
1,04-Nov-20,Sandstone,Stopped working after a firmware update. Very frustrating.,0
2,05-Nov-20,Charcoal Fabric,"Sound quality is poor, especially for the price.",0
1,06-Nov-20,Walnut Finish,Setup process is too complicated and time-consuming.,0
1,07-Nov-20,Heather Gray,Stopped working after just a few weeks. Very disappointed.,0
2,08-Nov-20,Sandstone,No support for local music playback. Very limited.,0
1,09-Nov-20,Charcoal Fabric,Voice recognition is poor. Alexa struggles to understand commands.,0
1,10-Nov-20,Walnut Finish,No backup battery. Useless during power outages.,0
2,11-Nov-20,Heather Gray,Privacy concerns with Alexa always listening.,0
1,12-Nov-20,Sandstone,The app is buggy and crashes often.,0
1,13-Nov-20,Charcoal Fabric,"Sound quality is poor, especially for the price.",0
2,14-Nov-20,Walnut Finish,Limited functionality compared to other smart assistants.,0
1,15-Nov-20,Heather Gray,Keeps disconnecting from Wi-Fi. Not reliable.,0
1,16-Nov-20,Sandstone,Stopped working after a month. Customer service was no help at all.,0
2,17-Nov-20,Charcoal Fabric,Voice recognition is inconsistent and unreliable.,0
1,18-Nov-20,Walnut Finish,Voice commands are too complicated and not intuitive.,0
1,19-Nov-20,Heather Gray,Stopped working after a firmware update. Very frustrating.,0
2,20-Nov-20,Sandstone,Limited functionality compared to other smart assistants.,0
1,21-Nov-20,Charcoal Fabric,Privacy concerns with Alexa always listening.,0
1,22-Nov-20,Walnut Finish,Requires constant internet connection to function. Useless otherwise.,0
2,23-Nov-20,Heather Gray,Sound volume is too low even at maximum setting.,0
1,24-Nov-20,Sandstone,Alexa skills are limited and not very useful.,0
1,25-Nov-20,Charcoal Fabric,Voice recognition is poor. Alexa struggles to understand commands.,0
2,26-Nov-20,Walnut Finish,Device feels cheap and poorly made.,0
1,27-Nov-20,Heather Gray,Microphone quality is poor. Doesn't pick up voice well.,0
1,28-Nov-20,Sandstone,Requires constant internet connection to function. Useless otherwise.,0
2,29-Nov-20,Charcoal Fabric,Keeps disconnecting from Wi-Fi. Not reliable.,0
1,30-Nov-20,Walnut Finish,Stopped working after just a few weeks. Very disappointed.,0
1,01-Dec-20,Heather Gray,Privacy concerns with Alexa always listening. Not comfortable with it.,0
2,02-Dec-20,Sandstone,"Sound quality is poor, especially for the price.",0
1,03-Dec-20,Charcoal Fabric,No backup battery. Useless during power outages.,0
1,04-Dec-20,Walnut Finish,Customer service is unresponsive and unhelpful.,0
2,05-Dec-20,Heather Gray,Annoying voice. Not pleasant to listen to.,0
1,06-Dec-20,Sandstone,Voice recognition is inconsistent and unreliable.,0
1,07-Dec-20,Charcoal Fabric,Alexa app is poorly designed and hard to navigate.,0
2,08-Dec-20,Walnut Finish,Setup process is too complicated and time-consuming.,0
1,09-Dec-20,Heather Gray,Requires constant internet connection to function. Useless otherwise.,0
1,10-Dec-20,Sandstone,Privacy concerns with Alexa always listening.,0
2,11-Dec-20,Charcoal Fabric,"Microphone sensitivity is poor, struggles to pick up voice commands.",0
1,12-Dec-20,Walnut Finish,Stopped working after a firmware update. Very frustrating.,0
1,13-Dec-20,Heather Gray,No support for Spotify. Very limited music options.,0
2,14-Dec-20,Sandstone,Stopped working after a month. Customer service was no help at all.,0
1,15-Dec-20,Charcoal Fabric,Limited functionality compared to other smart assistants.,0
1,16-Dec-20,Walnut Finish,The connection keeps dropping frequently. Very frustrating to use.,0
2,17-Dec-20,Heather Gray,Sound volume is too low even at maximum setting.,0
1,18-Dec-20,Sandstone,Alexa skills are limited and not very useful.,0
1,19-Dec-20,Charcoal Fabric,Voice commands are too complicated and not intuitive.,0
2,20-Dec-20,Walnut Finish,Keeps sending irrelevant notifications. Very annoying.,0
1,21-Dec-20,Heather Gray,Voice recognition is poor. Alexa struggles to understand commands.,0
1,22-Dec-20,Sandstone,Setup was extremely difficult and not user-friendly.,0
2,23-Dec-20,Charcoal Fabric,Limited functionality compared to other smart assistants.,0
1,24-Dec-20,Walnut Finish,Voice recognition is inconsistent and unreliable.,0
1,25-Dec-20,Heather Gray,Stopped working after just a few weeks. Very disappointed.,0
2,26-Dec-20,Sandstone,No backup battery. Useless during power outages.,0
1,27-Dec-20,Charcoal Fabric,Microphone quality is poor. Doesn't pick up voice well.,0
1,28-Dec-20,Walnut Finish,The app is buggy and crashes often.,0
2,29-Dec-20,Heather Gray,Customer service is unresponsive and unhelpful.,0
1,30-Dec-20,Sandstone,No support for local music playback. Very limited.,0
1,31-Dec-20,Charcoal Fabric,Stopped working after a firmware update. Very frustrating.,0
2,01-Jan-21,Walnut Finish,Voice commands are too complicated and not intuitive.,0
1,02-Jan-21,Heather Gray,Alexa app is poorly designed and hard to navigate.,0
1,03-Jan-21,Sandstone,"Sound quality is poor, especially for the price.",0
2,04-Jan-21,Charcoal Fabric,Privacy concerns with Alexa always listening.,0
1,05-Jan-21,Walnut Finish,Requires constant internet connection to function. Useless otherwise.,0
1,06-Jan-21,Heather Gray,Voice recognition is poor. Alexa struggles to understand commands.,0
2,07-Jan-21,Sandstone,Annoying voice. Not pleasant to listen to.,0
